outcome,sample,timing,control_spec,control_group,event_time,estimate,se,ci_low,ci_high
n_inventors,europe_lau,standard_decade,population_log,notyettreated,-70,-9.048149839456682,4.51472677359116,-17.897014315695355,-0.19928536321801005
n_inventors,europe_lau,standard_decade,population_log,notyettreated,-60,-8.338571212856001,4.604228290077305,-17.36285866140752,0.6857162356955175
n_inventors,europe_lau,standard_decade,population_log,notyettreated,-50,-8.114040980023175,4.611884274178866,-17.153334157413752,0.9252521973674028
n_inventors,europe_lau,standard_decade,population_log,notyettreated,-40,-6.911086830774412,3.5802075055238154,-13.92829354160109,0.10611988005226625
n_inventors,europe_lau,standard_decade,population_log,notyettreated,-30,-5.2632296520657,3.742750600754103,-12.599020829543742,2.0725615254123415
n_inventors,europe_lau,standard_decade,population_log,notyettreated,-20,-4.209122389068631,2.5908441382803633,-9.287176900098142,0.8689321219608805
n_inventors,europe_lau,standard_decade,population_log,notyettreated,-10,0,NA,NA,NA
n_inventors,europe_lau,standard_decade,population_log,notyettreated,0,0.0057509240080695495,1.31693358429078,-2.575438901201859,2.586940749217998
n_inventors,europe_lau,standard_decade,population_log,notyettreated,10,3.6357720329088687,2.7652612205262943,-1.7841399593226681,9.055684025140405
n_inventors,europe_lau,standard_decade,population_log,notyettreated,20,5.103041956898612,2.8614943637524335,-0.5054869960561579,10.711570909853382
n_inventors,europe_lau,standard_decade,population_log,notyettreated,30,6.4323703887921795,3.1727999203480053,0.21368254491008898,12.65105823267427
n_inventors,europe_lau,standard_decade,population_log,notyettreated,40,13.060547440007857,5.620925985927438,2.043532507590079,24.077562372425636
n_inventors,europe_lau,standard_decade,population_log,notyettreated,50,13.744844393855876,8.437766034888146,-2.7931770345248896,30.282865822236644
n_inventors,europe_lau,standard_decade,population_log,notyettreated,60,14.884508438173023,6.8840440287013545,1.3917821419183696,28.377234734427677
n_inventors,europe_lau,standard_decade,population_log,notyettreated,70,8.631373953626872,5.203791543457708,-1.5680574715502367,18.83080537880398
log1p_n_inventors,europe_lau,standard_decade,population_log,notyettreated,-70,-0.5354156241234266,0.1292408816485983,-0.7887277521546792,-0.28210349609217394
log1p_n_inventors,europe_lau,standard_decade,population_log,notyettreated,-60,-0.3445397976721422,0.11676795278989999,-0.5734049851403462,-0.11567461020393824
log1p_n_inventors,europe_lau,standard_decade,population_log,notyettreated,-50,-0.2761752394809175,0.100504408759427,-0.4731638806493944,-0.07918659831244057
log1p_n_inventors,europe_lau,standard_decade,population_log,notyettreated,-40,-0.2231614176302935,0.08584392791769005,-0.391415516348966,-0.05490731891162101
log1p_n_inventors,europe_lau,standard_decade,population_log,notyettreated,-30,-0.13631369212566835,0.09993210992103518,-0.3321806275708973,0.059553243319560606
log1p_n_inventors,europe_lau,standard_decade,population_log,notyettreated,-20,-0.04181586657811835,0.08881214127159551,-0.21588766347044552,0.13225593031420885
log1p_n_inventors,europe_lau,standard_decade,population_log,notyettreated,-10,0,NA,NA,NA
